line,x,y,count,key,totalLines
1,-85,-662,10,NO,2
1,-208,-374,10,NO,2
1,-254,-198,10,NO,2
1,-274,-29,10,NO,2
1,-302,34,10,YES,2
1,-284,45,10,YES,2
1,-265,31,10,YES,2
1,-190,-17,10,NO,2
1,-11,-26,10,NO,2
1,-100,-22,10,NO,2
1,-84,-63,10,NO,2
1,-12,-37,10,NO,2
1,28,-20,10,NO,2
1,48,-70,10,NO,2
1,9,-86,10,NO,2
2,409,-664,15,NO,2
2,124,83,15,NO,2
2,10,40,15,NO,2
2,22,11,15,NO,2
2,116,39,15,YES,2
2,120,22,15,NO,2
2,131,11,15,YES,2
2,127,1,15,YES,2
2,93,1,15,NO,2
2,65,-4,15,YES,2
2,26,-9,15,NO,2
2,31,-22,15,NO,2
2,-85,-65,15,NO,2
2,-53,-150,15,NO,2
2,182,-64,15,NO,2
